"ID","project_type","performance_tier","cost","mobility","reliability","connect","multimodal","assetmngmt","saftey","airclimate","cultenv","social_equity","land_compat","goods_move","emp_access","fiNaNl_score"
"MARTA-05-2","Transit Expansion",2,2500000,17,30,33,0,NaN,0,12,49,100,25,NaN,77,34
"MARTA-05-3","Transit Expansion",2,3310000,13,33,33,0,NaN,0,8,49,100,25,NaN,63,32
"MARTA-05-4","Transit Expansion",1,4660000,100,30,67,0,NaN,0,100,47,100,0,NaN,88,54
"MARTA-05-5","Transit Expansion",1,1490000,100,30,100,0,NaN,0,100,49,100,25,NaN,89,62
"MARTA-05-6","Transit Expansion",2,2570000,65,25,33,0,NaN,0,0,49,100,25,NaN,81,40
"MARTA-05-7","Transit Expansion",4,2820000,1,25,67,0,NaN,0,0,49,100,25,NaN,76,35
"MARTA-05-8","Transit Expansion",1,2670000,51,25,67,0,NaN,0,51,49,100,25,NaN,73,45
"MARTA-05-9","Transit Expansion",3,4260000,43,25,67,0,NaN,0,36,48,100,25,NaN,70,42
"AR-450A","Trail",3,101000000,100,NaN,80,50,NaN,100,100,67,100,25,NaN,100,80
"AR-450C","Trail",3,98820000,100,NaN,100,50,NaN,100,100,65,100,25,NaN,100,83
"ATL-299","Trail",1,8150000,100,NaN,100,50,NaN,75,100,48,100,25,NaN,100,78
"BCID-02","Trail",2,4550000,52,NaN,20,0,NaN,0,46,55,0,0,NaN,100,27
"BCID-04","Trail",3,13950000,83,NaN,20,0,NaN,50,86,50,0,25,NaN,100,44
"LBI-01","Trail",4,5600000,34,NaN,80,50,NaN,75,32,61,0,0,NaN,0,40
"LBI-2","Trail",1,3700000,49,NaN,100,50,NaN,75,67,49,0,25,NaN,100,59
"WOO-1","Trail",1,3650000,64,NaN,100,0,NaN,0,52,31,0,100,NaN,100,51
"1-Mar","Trail",4,6650000,50,NaN,20,50,NaN,50,44,37,100,0,NaN,0,38
"2-Mar","Trail",2,2320000,36,NaN,60,50,NaN,50,39,32,0,25,NaN,0,35
"CCID03","Trail",4,2480000,24,NaN,20,0,NaN,75,19,47,0,0,NaN,0,22
"CO-2","Trail",1,6770000,75,NaN,60,50,NaN,0,61,37,100,0,NaN,100,52
"CO-3","Trail",1,4700000,65,NaN,60,50,NaN,25,52,45,100,0,NaN,100,54
"CO-462","Trail",3,10920000,16,NaN,80,50,NaN,50,14,25,100,25,NaN,100,53
"CO-703","Trail",2,2200000,25,NaN,100,0,NaN,0,23,40,100,0,NaN,0,32
"CW-077","Trail",2,1300000,20,NaN,60,0,NaN,0,16,48,0,0,NaN,0,16
"Brookhaven-02","Trail",1,3400000,49,NaN,100,50,NaN,50,36,79,100,0,NaN,0,52
"Brookhaven-05","Trail",2,4760000,71,NaN,20,50,NaN,0,69,48,100,0,NaN,0,36
"Brookhaven-06","Trail",4,5000000,34,NaN,20,50,NaN,75,34,47,0,25,NaN,0,33
"Brookhaven-09","Trail",3,6600000,57,NaN,100,50,NaN,50,43,69,100,0,NaN,0,53
"DK417","Trail",3,6500000,60,NaN,20,50,NaN,75,90,50,0,0,NaN,100,48
"DK418-A","Trail",1,2820000,100,NaN,80,0,NaN,50,96,50,0,0,NaN,100,52
"DK418-B","Trail",3,4720000,49,NaN,80,0,NaN,50,49,49,0,0,NaN,100,42
"FA-353-1","Trail",2,3090000,62,NaN,40,0,NaN,0,49,32,0,25,NaN,100,33
"FA-353-3","Trail",2,3090000,62,NaN,40,0,NaN,0,49,32,0,25,NaN,100,33
"UNI-01","Trail",4,550000,2,NaN,40,0,NaN,75,2,62,0,0,NaN,100,32
"GW-384","Trail",4,8770000,90,NaN,0,0,NaN,0,88,36,0,25,NaN,100,34
"GW-385","Trail",1,5550000,75,NaN,60,0,NaN,0,64,43,100,0,NaN,100,46
"GW-402","Trail",4,4600000,40,NaN,60,0,NaN,0,30,50,0,25,NaN,0,22
"GW-TRL1","Trail",4,3700000,18,NaN,20,0,NaN,50,14,74,0,0,NaN,100,29
"NORC-17-02","Trail",3,5450000,47,NaN,20,0,NaN,0,73,50,100,25,NaN,100,40
"Peachtree Corners-01","Trail",1,4300000,98,NaN,80,0,NaN,50,100,17,100,0,NaN,100,60
"DAL-01","Trail",2,630000,32,NaN,20,0,NaN,0,26,44,0,0,NaN,0,12
"PA-100","Trail",4,4230000,39,NaN,20,0,NaN,0,36,25,0,0,NaN,0,12
"LOG-01","Trail",2,2000000,31,NaN,20,0,NaN,0,30,51,0,0,NaN,0,13
